epoch,iter_num,disc_A,disc_B,fool_disc_A2B,fool_disc_B2A,cycle_A,cycle_B
0,0,0.896714926,1.266494274,0.539864779,1.628136992,1.759875774,1.610234499
0,1,1.563195109,1.272169232,0.915102661,2.051983595,1.539815426,1.530653119
0,2,5.393622875,5.310265541,1.436591625,2.274562836,1.196091413,1.537582397
0,3,3.061019421,1.87861824,0.44694066,0.365415663,1.221573114,1.470915794
0,4,0.914341092,0.940402985,0.744654059,0.455411017,0.972920597,1.167768121
0,5,1.368559361,1.246387482,0.82050705,0.594413102,0.971167028,1.094176173
0,6,0.827154517,0.890651762,0.383323222,0.434021205,0.980351508,1.209718347
0,7,0.649957776,0.665636361,0.329852849,0.411373764,0.848842025,0.855423927
0,8,0.640504122,0.706000209,0.331251085,0.354336441,0.960212409,1.165109277
0,9,0.557489514,0.63421011,0.307671964,0.237029999,0.777312219,0.726474643
0,10,0.60291779,0.592963219,0.332084537,0.267455339,0.844884455,1.213837624
0,11,0.577217579,0.650071502,0.336652517,0.320668578,0.986840129,0.939152181
0,12,0.540867925,0.590330124,0.263804466,0.252464145,0.808402956,1.151710987
0,13,0.569234848,0.608740985,0.282059342,0.282703102,0.788590789,0.879863501
0,14,0.611132324,0.540652156,0.316097826,0.276316464,0.798614264,1.294011831
0,15,0.486840963,0.520269871,0.302522749,0.222298801,0.644637883,0.961767793
0,16,0.563155651,0.561364055,0.288497061,0.271211535,0.672584772,0.700089097
0,17,0.497543216,0.577449918,0.302468151,0.323248148,0.793082654,0.895166099
0,18,0.632819951,0.505193233,0.333366632,0.291312456,0.858578742,0.901887119
0,19,0.511754334,0.577119887,0.272881806,0.31777674,0.965221882,0.716605067
0,20,0.568593979,0.520054817,0.289127052,0.277750343,0.583035469,1.00947988
0,21,0.522538304,0.549469352,0.275772244,0.247411951,0.911847115,0.889902174
0,22,0.534876823,0.576580882,0.308685124,0.309971958,0.986351371,0.872073531
0,23,0.476629615,0.589032352,0.335414141,0.331382215,1.012779117,0.637730122
0,24,0.49899286,0.528038919,0.311164737,0.233536482,0.616101921,0.744271338
0,25,0.579331517,0.598786175,0.276102751,0.307108104,0.956555963,0.796037674
0,26,0.559357285,0.531684935,0.315397412,0.428605855,0.913076937,0.954848826
0,27,0.621877909,0.472953081,0.279675722,0.402690202,1.034669161,0.85709703
0,28,0.92782402,0.520401478,0.277510285,0.678728759,0.708275199,0.816947699
0,29,1.074355841,0.511236429,0.3162269,0.449991554,0.724592268,0.719979048
0,30,0.785995245,0.501337528,0.29952538,0.312049419,0.747361481,1.264475346
0,31,0.525861621,0.541429758,0.309314281,0.361746609,0.950268269,0.842502773
0,32,0.486827224,0.504452586,0.306887925,0.34839496,0.873560786,0.828009486
0,33,0.504036784,0.495293111,0.281980306,0.232508197,0.753896356,0.749849319
0,34,0.462361336,0.543419361,0.30082202,0.291407645,0.614915252,0.851884544
0,35,0.467214406,0.496199727,0.350862265,0.352705687,0.77659297,0.650772154
0,36,0.453668296,0.493334144,0.277555555,0.338288039,0.891838312,0.762223661
0,37,0.493400097,0.50235647,0.315053403,0.328414202,0.758888662,0.559749544
0,38,0.524501204,0.531983018,0.283953458,0.306686163,0.810008109,0.793468475
0,39,0.507209897,0.532809496,0.294973135,0.323995829,0.626350045,0.7265625
0,40,0.483942866,0.577522874,0.346241772,0.302797973,0.577142596,1.051184297
0,41,0.491491199,0.622523904,0.421788365,0.299816519,0.762004197,0.686572671
0,42,0.443901777,0.710650086,0.3833327,0.242655441,0.587364137,0.759182453
0,43,0.525247216,0.755788565,0.397047788,0.308596343,0.59388268,0.956838191
0,44,0.507612109,0.671633244,0.321462691,0.345442712,0.735306442,0.797441363
0,45,0.483329028,0.583208919,0.278757125,0.31025359,0.83151567,0.83095634
0,46,0.477273643,0.555620909,0.294812381,0.288806707,0.940053403,0.752257645
0,47,0.459438026,0.541296542,0.329059899,0.304080367,0.542659819,0.900941849
0,48,0.424346268,0.521456361,0.359198213,0.309774578,0.685236692,0.865654409
0,49,0.501230061,0.546355903,0.261274159,0.324161798,0.727635086,0.919235349
0,50,0.417572767,0.527962744,0.289907187,0.360285223,0.735378504,0.539152443
0,51,0.434710711,0.487792373,0.271023184,0.304043412,0.802706778,0.62085706
0,52,0.469243765,0.478302062,0.285562217,0.333426535,0.720447361,0.876802504
0,53,0.463301241,0.479437649,0.298845857,0.353245676,0.607353389,0.748708606
0,54,0.403675616,0.449741125,0.277763009,0.282402009,1.099792957,0.894243777
0,55,0.474651039,0.510804117,0.299570113,0.360687017,0.825530529,1.491569281
0,56,0.430552125,0.456996441,0.335636228,0.372665435,0.864376724,0.707655191
0,57,0.466455936,0.506204188,0.331299603,0.245136023,0.737719476,0.556433976
0,58,0.489209116,0.421056628,0.305431813,0.494189501,0.711027324,0.865563273
0,59,0.520165443,0.478359669,0.290161312,0.610156059,0.986357391,0.592285872
0,60,0.891929209,0.498930395,0.284926206,0.606992424,0.687971056,0.799174368
0,61,1.120119095,0.524657726,0.30259338,0.582407236,0.654556513,0.929385185
0,62,0.81026268,0.502896249,0.316727608,0.412041306,0.620267868,0.762150347
0,63,0.484165132,0.444396377,0.311843336,0.325899959,0.697036028,0.687417924
0,64,0.491667211,0.502716959,0.329094827,0.311202705,0.667110324,0.892204046
0,65,0.542621493,0.459025115,0.299011052,0.321072757,0.576004505,0.920265317
0,66,0.485541582,0.503337324,0.270457745,0.319154143,0.69998908,1.14933145
0,67,0.440240681,0.531573594,0.358581752,0.320624888,1.054203629,0.777019978
0,68,0.489391953,0.54270035,0.355692655,0.313330412,0.788413882,0.800219178
0,69,0.408189118,0.613351941,0.322591037,0.291347593,0.670413852,0.871883929
0,70,0.456979454,0.618344903,0.392338753,0.33888936,0.720296264,0.848164678
0,71,0.372815073,0.558984041,0.379747093,0.427152991,0.912136972,1.099031806
0,72,0.365267515,0.529245675,0.285334408,0.395804197,0.824433267,0.963869929
0,73,0.419821322,0.550454974,0.312514395,0.438647538,0.642621636,0.772509038
0,74,0.402282774,0.536983848,0.319871843,0.433751613,0.615078866,0.688133776
0,75,0.329241484,0.462823987,0.26356709,0.275157839,0.792706251,0.810307741
0,76,0.519407749,0.582489491,0.297033221,0.374125212,0.855154276,1.16723001
0,77,0.514832854,0.530111313,0.301734298,0.493395507,0.924847484,0.837547898
0,78,0.491166145,0.443441123,0.320112646,0.382077187,0.686221957,0.857607245
0,79,0.492541403,0.49687016,0.297560215,0.310281634,0.68472743,0.93191117
0,80,0.47249651,0.494976014,0.301208258,0.454953194,0.884320259,0.900490165
0,81,0.446419805,0.488877386,0.354079276,0.198729739,0.865070522,0.653234124
0,82,0.486890495,0.431862086,0.333365142,0.353266269,0.595003307,0.73814261
0,83,0.407507688,0.477884293,0.307526916,0.427051544,0.743680894,0.697252691
0,84,0.405197084,0.459163785,0.208705306,0.220807418,0.586836696,0.771722853
0,85,0.503436267,0.522062421,0.29301551,0.344896078,0.62013495,0.860574305
0,86,0.533090234,0.455230147,0.398811847,0.365718067,0.669463813,0.678621829
0,87,0.405074179,0.530885339,0.39951095,0.266437769,0.665175319,0.624687433
0,88,0.425780118,0.5875597,0.475433171,0.361475646,0.702737927,0.918743968
0,89,0.492204666,0.775412202,0.533767939,0.44176811,0.559980631,0.969184637
0,90,0.51262176,0.851850748,0.344030648,0.284316957,0.697405875,0.685729623
0,91,0.618362844,0.71631968,0.380347878,0.444735587,0.728982806,0.877910197
0,92,0.673737168,0.515471339,0.358949989,0.525517941,0.58341831,0.816933453
0,93,0.622666359,0.524444222,0.288842499,0.343656778,0.543872237,0.769578576
0,94,0.517865539,0.438589156,0.328803837,0.281412601,0.876325011,0.741435647
0,95,0.526627243,0.420850039,0.332613885,0.458868057,0.622322202,0.712531745
0,96,0.470120728,0.403710067,0.213678211,0.338945985,0.608556926,0.683461428
0,97,0.433357328,0.531084478,0.354665041,0.288599283,0.648854733,0.771178365
0,98,0.46566397,0.509926498,0.359885901,0.337037176,0.636045933,0.789382398
0,99,0.452579081,0.481054246,0.253416032,0.321356177,0.792387366,0.663125396
0,100,0.465496778,0.521733403,0.295757443,0.347850978,0.657025516,0.604245305
0,101,0.452402085,0.464808822,0.351169705,0.357043177,0.694744051,0.807624817
0,102,0.410102308,0.471399188,0.296637863,0.165762305,0.649973392,0.645636618
0,103,0.446420223,0.461109579,0.270283788,0.544449151,0.818070412,0.627490044
0,104,0.510659575,0.500165999,0.318200409,0.357157946,0.80339998,0.70475328
0,105,0.382760823,0.480282217,0.240342751,0.17759034,0.530724049,0.902610779
0,106,0.578610659,0.457208633,0.311240137,0.330471694,0.627853513,0.589133739
0,107,0.524596572,0.429883748,0.345990509,0.474018186,0.560240567,0.93945092
0,108,0.394462585,0.441801071,0.286996365,0.332257897,0.953872442,0.685876906
0,109,0.475117296,0.467837214,0.38345772,0.337178797,0.655944049,0.944927573
0,110,0.468788654,0.483536094,0.384304911,0.472912669,0.697736979,0.757121146
0,111,0.424209416,0.47362414,0.27502054,0.274347305,0.633844435,0.782641649
0,112,0.50468576,0.456017971,0.337097406,0.407146394,0.70589745,0.844600439
0,113,0.51308471,0.47465533,0.406154722,0.435536802,0.639681756,0.88196981
0,114,0.404402912,0.451458633,0.298474789,0.371410638,0.903168321,1.176083207
0,115,0.619202435,0.401240528,0.304914087,0.455710828,0.670793712,0.62915659
0,116,0.562309444,0.469070673,0.421234161,0.50370127,0.848097444,0.90270406
0,117,0.512637854,0.432416201,0.357031792,0.300611049,0.672140002,0.905545592
0,118,0.424700499,0.486813009,0.325115144,0.426878273,0.571363628,0.769667983
0,119,0.418435007,0.513982773,0.320893973,0.477417588,0.559998691,0.705185056
0,120,0.316066802,0.416390061,0.226630121,0.21729739,0.738609374,0.563563228
0,121,0.566582322,0.507725716,0.393114805,0.544610679,0.789298534,1.061866283
0,122,0.477913976,0.481883764,0.384326518,0.442844957,0.884076476,0.645695925
0,123,0.440126151,0.542156041,0.342032164,0.278799742,0.78042841,0.916149855
0,124,0.496445358,0.657068968,0.339954197,0.38482216,0.549707711,0.635304689
0,125,0.542481244,0.565678418,0.439982742,0.59244144,0.613252878,0.638109088
0,126,0.584193945,0.558294475,0.236108512,0.339083225,0.603633106,0.999293447
0,127,0.535738826,0.532688141,0.384093314,0.30330795,0.610925615,0.824868202
0,128,0.586534023,0.531642377,0.346394986,0.535047829,0.738287807,1.079008818
0,129,0.474658906,0.485143423,0.329737782,0.283149213,0.697671771,0.624404609
0,130,0.489035666,0.490830302,0.326640397,0.345304787,0.849508345,0.577463746
0,131,0.43938747,0.423972279,0.330351204,0.412442923,0.586474299,0.646834016
0,132,0.414669096,0.48562485,0.345168829,0.348220825,0.667563081,0.687523007
0,133,0.457109272,0.453383982,0.371634722,0.311225414,0.56974256,0.742390752
0,134,0.446002066,0.520338178,0.278383732,0.39543879,0.69287926,0.686231136
0,135,0.410430461,0.468286157,0.297242016,0.270984769,0.592504382,0.643979788
0,136,0.463755041,0.493208587,0.378228039,0.454722017,0.502141476,0.633242071
0,137,0.430082649,0.445685357,0.383478045,0.351436734,0.562326312,0.737470984
0,138,0.35099256,0.458960474,0.29904002,0.228721797,0.563518703,0.641045511
0,139,0.367004812,0.479752481,0.361076683,0.524187624,0.810370445,0.870124578
0,140,0.396253377,0.468636036,0.381849319,0.392993718,0.535525858,0.569031358
0,141,0.386765927,0.441887915,0.384792447,0.094663791,1.143399954,0.951580286
0,142,0.589334607,0.482811809,0.372993648,0.557479739,0.673084795,0.613632083
0,143,0.561941147,0.424814701,0.379411966,0.399525166,0.696666121,0.895589888
0,144,0.47380805,0.411406785,0.380755156,0.331286013,0.907407999,0.641649961
0,145,0.399006486,0.522968292,0.391308159,0.377407819,0.644109011,0.813801587
0,146,0.48362577,0.439703017,0.435926169,0.418319553,0.591079652,0.74968195
0,147,0.405402541,0.431301028,0.2294617,0.195379466,0.569704115,0.779433846
0,148,0.432820916,0.585888565,0.385850787,0.472658813,0.501523852,0.760771573
0,149,0.431177735,0.562434077,0.389959902,0.473624557,0.886778235,1.072073221
0,150,0.379956484,0.506720424,0.290583432,0.232177064,0.765759468,0.634495676
0,151,0.501659513,0.634844482,0.650711894,0.427934527,0.619753659,0.632686973
0,152,0.378051937,0.688963532,0.385817319,0.422757387,0.671795726,0.708620548
0,153,0.379015028,0.478889942,0.306279749,0.299836159,0.64388454,0.637157917
0,154,0.484735668,0.542174399,0.328309834,0.600520432,0.773126185,0.68944329
0,155,0.468773991,0.539502323,0.430256724,0.401568353,0.695955992,0.659831882
0,156,0.352125704,0.569758475,0.310020775,0.301427037,0.697279215,0.723638594
0,157,0.427990377,0.548601449,0.335135818,0.496141702,0.591496944,0.907149851
0,158,0.502568781,0.522766471,0.32212311,0.369565129,0.641378045,0.672504246
0,159,0.374967039,0.425934017,0.376115471,0.304785877,0.696388423,0.782997131
0,160,0.436990589,0.395275593,0.361051559,0.404514164,0.563438177,0.88752085
0,161,0.314023614,0.416582912,0.322660923,0.543952465,0.695792198,0.646324754
0,162,0.339643389,0.412401319,0.245693222,0.332464188,0.661764681,0.730122805
0,163,0.453305006,0.512832224,0.372132927,0.468945533,0.594179928,0.789102256
0,164,0.416342914,0.402487814,0.40708375,0.639929771,0.838418722,0.614214301
0,165,0.519436598,0.411726743,0.381280184,0.526818216,0.605434895,0.680047512
0,166,0.8114115,0.438656211,0.350248158,0.632189453,0.688268661,0.65924108
0,167,1.016284108,0.426188767,0.314196646,1.141694188,0.692837238,0.653290272
0,168,1.559353948,0.439080656,0.45187968,1.062514544,0.740390897,0.725463092
0,169,1.602731109,0.526560962,0.491667539,0.860723734,0.729225814,0.829412818
0,170,1.249734402,0.518270731,0.344168246,1.099260211,0.573542655,0.80290246
0,171,2.056820393,0.476406127,0.32646656,1.197945356,0.680295825,0.606996179
0,172,2.020326138,0.517391443,0.428943187,0.888327599,0.661452651,0.688776135
0,173,1.245295763,0.485287666,0.393021584,0.272009224,0.896130919,0.663667202
0,174,0.569887221,0.390814662,0.254745722,0.265132576,0.924684525,1.324142814
0,175,0.636183858,0.59210217,0.487521052,0.291235209,1.156264067,1.459483862
0,176,0.532246232,0.567586303,0.410965323,0.350624323,0.912088633,1.248379707
0,177,0.528131366,0.457738459,0.194985464,0.351344496,0.812348425,1.18459022
0,178,0.47946769,0.50602591,0.422219962,0.332903236,0.741048813,0.830239117
0,179,0.507930219,0.460086644,0.444356292,0.255101353,0.833797336,0.837113023
0,180,0.502426863,0.509780407,0.216888383,0.236537382,0.791991711,0.743158102
0,181,0.559835076,0.490288854,0.280093431,0.290617704,0.869147301,0.642523468
0,182,0.489444613,0.476880789,0.370387584,0.318443865,0.816296458,0.7757985
0,183,0.497938395,0.416992426,0.349378854,0.275293171,0.628529668,0.749998629
0,184,0.477156073,0.420556068,0.408729821,0.248692662,0.512010574,0.746622801
0,185,0.483956039,0.427416801,0.362672359,0.279312134,0.666318178,0.725211024
